epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,214.206,0.869,0.58107,0.94257,0.68261,0.56522,0.72415,0.44858,1.32994,1.18288,1.30024,0.000196824,0.000196824,0.000196824
82,216.596,0.89078,0.58528,0.93637,0.68261,0.56522,0.72415,0.44858,1.32994,1.18288,1.30024,0.000194072,0.000194072,0.000194072
83,218.936,0.84435,0.53181,0.97461,0.68261,0.56522,0.72415,0.44858,1.32994,1.18288,1.30024,0.00019132,0.00019132,0.00019132
84,221.328,0.86551,0.57814,0.98501,0.60468,0.66849,0.74095,0.45649,1.33631,1.22186,1.32998,0.000188567,0.000188567,0.000188567
85,223.671,0.89869,0.5886,0.95913,0.60468,0.66849,0.74095,0.45649,1.33631,1.22186,1.32998,0.000185815,0.000185815,0.000185815
86,226.066,0.8366,0.55155,0.96348,0.60468,0.66849,0.74095,0.45649,1.33631,1.22186,1.32998,0.000183063,0.000183063,0.000183063
87,228.462,0.79835,0.5581,0.93498,0.5775,0.71336,0.73406,0.45524,1.35114,1.1872,1.33746,0.000180311,0.000180311,0.000180311
88,230.729,0.80433,0.49815,0.92722,0.5775,0.71336,0.73406,0.45524,1.35114,1.1872,1.33746,0.000177559,0.000177559,0.000177559
89,233,0.82558,0.56446,0.96944,0.61937,0.64677,0.73588,0.45506,1.38773,1.16342,1.35301,0.000174806,0.000174806,0.000174806
90,235.24,0.89906,0.62543,1.12707,0.61937,0.64677,0.73588,0.45506,1.38773,1.16342,1.35301,0.000172054,0.000172054,0.000172054
91,237.475,0.85124,0.54677,0.95039,0.61937,0.64677,0.73588,0.45506,1.38773,1.16342,1.35301,0.000169302,0.000169302,0.000169302
92,239.728,0.80262,0.55418,0.95999,0.6045,0.65818,0.74641,0.44414,1.40707,1.11806,1.38006,0.00016655,0.00016655,0.00016655
93,241.956,0.79707,0.54563,0.97956,0.6045,0.65818,0.74641,0.44414,1.40707,1.11806,1.38006,0.000163798,0.000163798,0.000163798
94,244.186,0.82742,0.5348,0.90901,0.6045,0.65818,0.74641,0.44414,1.40707,1.11806,1.38006,0.000161045,0.000161045,0.000161045
95,246.45,0.78638,0.51308,0.91033,0.57684,0.80703,0.76053,0.4579,1.3903,1.09002,1.37151,0.000158293,0.000158293,0.000158293
96,248.789,0.76919,0.51588,0.96958,0.57684,0.80703,0.76053,0.4579,1.3903,1.09002,1.37151,0.000155541,0.000155541,0.000155541
97,251.215,0.83209,0.55416,0.9375,0.58099,0.80957,0.76931,0.4797,1.37302,1.08296,1.35488,0.000152789,0.000152789,0.000152789
98,255.082,0.74954,0.55676,0.94013,0.58099,0.80957,0.76931,0.4797,1.37302,1.08296,1.35488,0.000150037,0.000150037,0.000150037
99,259.48,0.76694,0.511,0.91703,0.58099,0.80957,0.76931,0.4797,1.37302,1.08296,1.35488,0.000147284,0.000147284,0.000147284
100,263.463,0.79936,0.5492,0.94592,0.59771,0.77673,0.76162,0.47153,1.37323,1.08562,1.37337,0.000144532,0.000144532,0.000144532
101,266.466,0.78147,0.4791,0.91207,0.59771,0.77673,0.76162,0.47153,1.37323,1.08562,1.37337,0.00014178,0.00014178,0.00014178
102,269.373,0.81114,0.50499,0.94612,0.59771,0.77673,0.76162,0.47153,1.37323,1.08562,1.37337,0.000139028,0.000139028,0.000139028
103,272.317,0.79447,0.49625,0.92662,0.59554,0.75186,0.76601,0.45688,1.41982,1.10137,1.41595,0.000136276,0.000136276,0.000136276
104,276.236,0.76825,0.48771,0.93655,0.59554,0.75186,0.76601,0.45688,1.41982,1.10137,1.41595,0.000133523,0.000133523,0.000133523
105,279.025,0.73098,0.47014,0.89991,0.60757,0.78017,0.77002,0.46183,1.41135,1.09536,1.40119,0.000130771,0.000130771,0.000130771
106,281.241,0.77829,0.50183,0.92025,0.60757,0.78017,0.77002,0.46183,1.41135,1.09536,1.40119,0.000128019,0.000128019,0.000128019
107,283.472,0.75962,0.50649,0.90831,0.60757,0.78017,0.77002,0.46183,1.41135,1.09536,1.40119,0.000125267,0.000125267,0.000125267
108,285.711,0.72694,0.47421,0.92737,0.58274,0.79208,0.77176,0.4719,1.37163,1.08899,1.3659,0.000122515,0.000122515,0.000122515
109,287.92,0.75655,0.47452,0.91651,0.58274,0.79208,0.77176,0.4719,1.37163,1.08899,1.3659,0.000119762,0.000119762,0.000119762
110,290.202,0.71043,0.47997,0.90161,0.58274,0.79208,0.77176,0.4719,1.37163,1.08899,1.3659,0.00011701,0.00011701,0.00011701
111,292.46,0.68748,0.45005,0.88777,0.56079,0.73992,0.73548,0.44498,1.37491,1.08886,1.37592,0.000114258,0.000114258,0.000114258
112,294.68,0.68891,0.43282,0.89163,0.56079,0.73992,0.73548,0.44498,1.37491,1.08886,1.37592,0.000111506,0.000111506,0.000111506
113,296.895,0.68827,0.44807,0.88785,0.58854,0.73475,0.76243,0.46885,1.38904,1.09506,1.39644,0.000108754,0.000108754,0.000108754
114,299.095,0.76244,0.49908,0.95035,0.58854,0.73475,0.76243,0.46885,1.38904,1.09506,1.39644,0.000106001,0.000106001,0.000106001
115,301.349,0.77219,0.48858,0.92045,0.58854,0.73475,0.76243,0.46885,1.38904,1.09506,1.39644,0.000103249,0.000103249,0.000103249
116,303.577,0.72738,0.46183,0.90893,0.66332,0.68186,0.76382,0.46956,1.4033,1.0935,1.41625,0.000100497,0.000100497,0.000100497
117,305.784,0.68299,0.44976,0.89739,0.66332,0.68186,0.76382,0.46956,1.4033,1.0935,1.41625,9.77448e-05,9.77448e-05,9.77448e-05
118,308.034,0.71201,0.44666,0.91853,0.66332,0.68186,0.76382,0.46956,1.4033,1.0935,1.41625,9.49926e-05,9.49926e-05,9.49926e-05
119,310.295,0.68329,0.4307,0.89709,0.61997,0.69299,0.76705,0.46753,1.40033,1.09318,1.40944,9.22404e-05,9.22404e-05,9.22404e-05
120,312.638,0.71087,0.43824,0.87774,0.61997,0.69299,0.76705,0.46753,1.40033,1.09318,1.40944,8.94882e-05,8.94882e-05,8.94882e-05
121,315.081,0.67378,0.44105,0.86424,0.61505,0.69828,0.77821,0.46684,1.39643,1.08005,1.40351,8.6736e-05,8.6736e-05,8.6736e-05
122,317.37,0.66971,0.44645,0.88255,0.61505,0.69828,0.77821,0.46684,1.39643,1.08005,1.40351,8.39838e-05,8.39838e-05,8.39838e-05
123,319.606,0.67495,0.48559,0.91648,0.61505,0.69828,0.77821,0.46684,1.39643,1.08005,1.40351,8.12316e-05,8.12316e-05,8.12316e-05
124,321.869,0.70066,0.44526,0.90779,0.6104,0.739,0.77352,0.45889,1.40769,1.06937,1.4231,7.84794e-05,7.84794e-05,7.84794e-05
125,324.115,0.65766,0.42289,0.90107,0.6104,0.739,0.77352,0.45889,1.40769,1.06937,1.4231,7.57272e-05,7.57272e-05,7.57272e-05
126,326.333,0.62792,0.43732,0.89221,0.6104,0.739,0.77352,0.45889,1.40769,1.06937,1.4231,7.2975e-05,7.2975e-05,7.2975e-05
127,328.585,0.66248,0.41412,0.89101,0.60409,0.74384,0.77712,0.46466,1.41852,1.05541,1.44416,7.02228e-05,7.02228e-05,7.02228e-05
